1154	2601
2156	2729
875	1365
1852	2119
598	2159
2274	2522
1160	1505
2026	2234
1626	2664
1698	1795
568	2256
2101	2115
756	2871
621	1716
528	1444
555	2124
1650	2682
961	2988
1723	1928
635	1954
1345	1458
2206	2520
1397	2694
291	2390
1572	2410
603	748
917	1249
2103	2553
63	2983
424	1223
1843	1917
1363	1618
830	2026
1717	2297
1733	2794
1476	1661
601	1292
516	2265
1246	1902
1318	2247
420	1933
2246	2490
438	2691
1191	2955
904	1476
1985	2294
2026	2819
47	2215
890	2943
152	2707
138	2613
116	437
2203	2865
1070	2647
1834	2279
1568	2395
461	1184
1291	2115
490	2060
1347	2183
1742	1983
451	2296
199	2096
826	1639
1512	2205
1898	2319
616	2390
674	2993
20	2173
824	1186
143	934
417	2281
152	1076
929	1014
82	2049
293	2234
1556	1822
1524	2682
2097	2587
1913	2534
75	2182
1433	2068
1347	2924
1231	1418
2278	2614
256	759
875	2707
726	2734
783	1502
544	2458
1199	1437
673	1841
1269	2203
57	2271
1321	2405
2391	2560
226	2060
1038	2115
2647	2660
1099	2917
1927	2002
179	1353
263	276
444	1000
196	1845
800	1740
606	2333
498	1992
305	1721
521	2088
41	2216
725	800
2119	2851
1915	2917
502	2451
1654	1917
2138	2670
1470	2182
2110	2636
2065	2091
1726	2373
2524	2545
1100	2237
1685	1994
435	2266
289	2107
520	2851
199	2959
426	961
2318	2816
2608	2947
315	2104
345	2280
622	2314
2430	2741
345	1506
990	2233
1037	2115
496	683
141	1341
1313	2983
1373	2803
51	155
2012	2587
2683	2815
1466	2674
294	839
24	1863
23	2060
250	2125
69	1799
47	75
1927	2846
74	316
552	2385
1277	2506
750	1158
2443	2976
485	1605
17	2450
380	2385
2376	2592
573	910
733	2794
1133	1839
338	632
329	2005
258	2319
929	2520
199	2623
2420	2852
347	2935
1211	2203
632	2487
1996	2670
572	656
2355	2947
395	513
2782	2944
755	1186
1991	2269
2218	2849
1990	2708
341	2734
1905	2179
747	1198
961	2246
1481	2874
937	2707
377	827
392	2752
682	2109
909	2202
1178	1301
872	2068
474	2352
2089	2634
2450	2667
1485	2683
2287	2355
1389	2795
207	603
1065	2725
694	1220
154	2846
2603	2655
253	1927
486	2288
1013	2777
1081	2711
316	777
71	1308
273	1891
1647	2802
1231	2016
808	1695
918	1243
1249	2616
1434	2614
1305	1579
41	2520
274	1420
1068	2571
587	830
2520	2741
2652	2882
2074	2942
2079	2174
334	2265
1602	2741
2238	2608
447	475
1985	2258
606	1426
930	1998
1436	1842
2000	2996
1120	2729
1805	2074
1717	2455
1130	2638
2271	2562
331	1687
898	2946
2055	2795
1872	1910
491	811
386	1549
2714	2996
1726	1745
697	1510
1967	1972
2226	2280
1241	1835
423	2384
1171	1370
1440	2879
253	753
573	2586
453	653
556	1347
567	897
690	2927
2055	2863
1162	2996
810	993
1780	2890
677	1879
1441	2209
1445	1966
578	2317
1207	1894
730	2103
2173	2373
1233	2518
1954	2882
1045	2737
1298	2247
1626	2138
2555	2609
9	1570
1996	2721
1199	2074
1466	2341
1950	2528
197	860
1735	2422
967	2794
1732	2076
75	1066
2592	2593
2079	2352
439	861
374	942
2166	2804
260	472
120	1245
484	2676
2747	2927
1342	2741
1655	2819
288	319
290	2142
366	2574
830	2032
960	2683
710	1426
2259	2971
1569	2919
1586	2195
2016	2631
1650	1868
2333	2683
961	2811
341	2853
1239	1725
523	2103
1381	2391
2215	2253
1938	2295
2375	2707
556	1935
1103	1153
286	2944
936	2556
719	1996
121	331
2074	2947
170	332
1137	1602
1180	2119
1976	2524
1612	2248
853	2394
731	2326
1456	2166
2288	2819
345	1011
2133	2507
20	897
1456	1512
296	601
1305	2993
1705	2631
2286	2514
991	1278
482	1788
2202	2352
29	1406
731	2658
157	647
1688	2279
666	2600
2499	2893
251	948
1438	2167
840	2275
1100	2334
292	386
2199	2688
639	830
1084	2393
1683	1740
493	1097
922	2636
655	1476
1447	1812
1465	2864
329	1352
2697	2919
530	2347
502	538
1661	1885
2699	2738
1903	1987
1937	2684
221	656
1019	2271
1405	2064
2026	2416
1481	1859
1637	1983
428	2586
938	2280
274	1178
1370	2867
1011	1957
252	490
264	586
532	1734
874	2232
341	2026
648	1406
232	1633
2333	2451
947	2623
2171	2335
1815	2195
834	2988
1162	2795
305	2224
874	1037
781	1113
1942	1996
1525	2637
998	1861
2060	2837
655	1480
1311	1449
1737	2119
2115	2425
367	1659
465	581
56	543
689	2289
1906	2279
1406	1615
232	522
252	939
1705	2707
1406	2661
1634	2246
2804	2992
6	1627
846	2012
379	2167
418	2853
1178	1420
1255	1927
44	2283
427	841
1687	2645
480	1902
1833	2585
2406	2512
517	1150
1841	2602
291	2185
830	2858
1732	2884
944	2515
960	2002
1014	2581
1145	1933
1237	2213
781	2979
1367	2529
933	1120
345	1992
817	1727
407	2675
1023	1249
1558	2608
372	1859
379	2216
2246	2433
1401	2658
677	2653
757	1181
200	1320
1449	2246
1556	2302
2929	2983
1370	2293
1997	2319
181	330
621	1185
1933	2959
1540	2055
1985	2369
622	1265
1275	1558
855	2242
1373	1831
1115	2558
266	1956
1023	2714
2157	2214
1695	2987
10	2874
377	1721
1287	2630
153	154
515	1854
1870	2391
2410	2978
347	2027
1081	2586
521	2016
181	1938
1411	2209
1834	2234
816	2506
622	2534
475	726
396	601
764	1454
875	2924
1732	2831
332	645
351	1861
673	2054
439	755
381	541
331	2596
243	258
668	2991
1234	2391
1317	2495
1627	2271
209	2732
617	1905
964	1657
1345	2275
761	2725
1710	1893
2005	2064
143	2385
40	1162
2646	2832
1160	2843
1715	2272
801	2029
1867	2747
1152	1811
56	2832
2246	2298
121	1712
328	1708
530	2205
242	1013
1830	1985
670	1918
738	2166
1295	1602
170	200
1547	2448
813	1134
